edge_id,start_coord,end_coord,osm_osmid,osm_highway,osm_name,osm_oneway,osm_reversed,osm_length,osm_geometry,inferred_length,inferred_length_source,inferred_width,inferred_width_source,inferred_curb_norm,inferred_curb_source,inferred_crossing,inferred_crossing_source,inferred_path_type,inferred_path_type_source,osm_maxspeed,osm_bridge,osm_lanes,osm_tunnel,osm_est_width,osm_width,osm_service,osm_access,osm_ref
188,"(0.36217473589450655, 0.3154840818380269)","(0.3733550053484181, 0.28277303396680614)","[627618658, 38322370, 627618659, 38322371, 7371500]",residential,Amstel,False,False,34.55673471595337,"LINESTRING (629501.6049215143 5803423.264884661, 629501.0726277225 5803424.853478644, 629500.8880960403 5803425.393952367, 629499.8994865108 5803428.272652499, 629498.0975727887 5803433.3224000735, 629494.0172619785 5803445.479382005, 629492.6504519326 5803449.527823868, 629492.4881006188 5803450.002106441, 629492.3479280247 5803450.410197564, 629490.4298712054 5803455.991090768)",34.55673471595337,OSM:length,1.0,Default:highway=residential (fallback width),-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,"['yes', 'movable']",,,,,,,
911,"(0.391620792202975, 0.2292127820998779)","(0.49703015259880595, 0.20566449741177714)","[7370496, 139145309, 7370263]",residential,"['Amstel', 'Nieuwe Keizersgracht']",False,"[False, True]",147.5181487464056,"LINESTRING (629519.8621815806 5803369.679813078, 629538.2176943133 5803316.776258239, 629546.7417148477 5803319.582448012, 629625.2223350466 5803346.12061616)",147.5181487464056,OSM:length,3.25,OSM:width=3.25,-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,,,,,3.25,,,
966,"(0.391620792202975, 0.2292127820998779)","(0.40894943964365327, 0.23507441367840468)","[441790088, 441790089, 441790087]",footway,,False,False,18.23514182525973,"LINESTRING (629519.8621815806 5803369.679813078, 629524.4000644668 5803371.212568575, 629528.7419729816 5803372.684527894, 629534.6439658803 5803374.6760811135, 629537.1827397061 5803375.544160925)",18.23514182525973,OSM:length,1.2,Inferred:highway=footway (typical sidewalk width),-0.04,Inferred:highway=footway (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=footway (walk_lane),,,,building_passage,,,,permissive,
890,"(0.5126174790204815, 0.32959505216783824)","(0.5322360199466364, 0.33053382827841066)","[1135939020, 23289012]","['footway', 'residential']",Nieuwe Herengracht,False,"[False, True]",23.948210080061486,"LINESTRING (629640.8023850322 5803470.108600094, 629658.3092718341 5803476.12297949, 629660.4117676809 5803471.047811232)",23.948210080061486,OSM:length,1.0,"Default:highway=['footway', 'residential'] (fallback width)",-0.04,"Default:highway=['footway', 'residential'] (pedestrian paths default lowered)",0,Default: no crossing indicators found,0,"Default:highway=['footway', 'residential'] (walk_lane fallback)",30,,,,,,,,
894,"(0.5126174790204815, 0.32959505216783824)","(0.5250297300295765, 0.2915549550365807)",303990003,footway,,False,True,40.02728842442555,"LINESTRING (629640.8023850322 5803470.108600094, 629649.0807065363 5803447.044413809, 629653.2088417858 5803432.050875256)",40.02728842442555,OSM:length,1.2,Inferred:highway=footway (typical sidewalk width),-0.04,Inferred:highway=footway (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=footway (walk_lane),,,,,,,,,
209,"(0.34232206430992246, 0.3656544264349523)","(0.36217473589450655, 0.3154840818380269)",115843346,residential,Amstel,False,False,54.210256345710505,"LINESTRING (629490.4298712054 5803455.991090768, 629475.843503804 5803498.499143703, 629471.835912738 5803504.525910901, 629470.5864671945 5803506.184684205)",54.210256345710505,OSM:length,1.0,Default:highway=residential (fallback width),-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,,,,,,,,
210,"(0.36217473589450655, 0.3154840818380269)","(0.5494203954566872, 0.38141092275746946)","[23289008, 895217147]",residential,Nieuwe Herengracht,False,True,197.88760010815835,"LINESTRING (629490.4298712054 5803455.991090768, 629672.2141522901 5803520.093073001, 629677.5881212244 5803521.948482057)",197.88760010815835,OSM:length,1.0,Default:highway=residential (fallback width),-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,,,,,,,,
193,"(0.727001344930598, 0.3500780589692843)","(0.7804438986483109, 0.3018288428580376)","[7370806, 130466838]","['footway', 'residential']",Hortusplantsoen,False,"[False, True]",82.06117762201258,"LINESTRING (629908.5037786112 5803442.329523977, 629905.4307104952 5803449.838535741, 629899.4505709999 5803454.432925933, 629850.139372487 5803481.589586969, 629855.0861728106 5803490.601098681)",82.06117762201258,OSM:length,1.0,"Default:highway=['footway', 'residential'] (fallback width)",-0.04,"Default:highway=['footway', 'residential'] (pedestrian paths default lowered)",0,Default: no crossing indicators found,0,"Default:highway=['footway', 'residential'] (walk_lane fallback)",30,,,,,,,,
196,"(0.7804438986483109, 0.3018288428580376)","(0.7981401593153782, 0.32007144983916813)","[27061819, 38572003, 27061812]",residential,"['Plantage Parklaan', 'Piet Meerburgbrug']",False,False,26.283535032358508,"LINESTRING (629908.5037786112 5803442.329523977, 629913.6545595627 5803444.123656408, 629917.4514897821 5803447.395640121, 629920.4247081702 5803450.9018646395, 629926.1917783548 5803460.580584547)",26.283535032358508,OSM:length,1.0,Default:highway=residential (fallback width),-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,yes,,,,,,,
214,"(0.7981401593153782, 0.32007144983916813)","(0.817960872006209, 0.3572253237026574)",27061819,residential,Plantage Parklaan,False,False,42.073521208389984,,42.073521208389984,OSM:length,1.0,Default:highway=residential (fallback width),-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,,,,,,,,
